source_db_path,target_db_path,output_path,comparison_number,status,match_count,error_message,duration_seconds,peak_memory_mb,early_escape_detected
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 7_علي_الطبرسي_مشكاة_الأنوار_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 7_علي_الطبرسي_مشكاة_الأنوار_copy1.jsonl,75,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ن329_علي_بن_إبراهيم_تفسير_القمي_copy1.db,./output/matches_ن329_علي_بن_إبراهيم_تفسير_القمي_copy1_276_ابن_قتيبة_غريب_الحديث_copy1.jsonl,76,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/148_أبو_حمزة_الثمالي_تفسير_أبي_حمزة_الثمالي_copy1.db,./output/matches_285_إبراهيم_الحربي_غريب_الحديث_copy1_148_أبو_حمزة_الثمالي_تفسير_أبي_حمزة_الثمالي_copy1.jsonl,77,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/260_المنسوب_إلى_الإمام_تفسير_الإمام_العسكري_(ع)_copy1.db,./output/matches_260_المنسوب_إلى_الإمام_تفسير_الإمام_العسكري_(ع)_copy1_285_إبراهيم_الحربي_غريب_الحديث_copy1.jsonl,78,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/274_أحمد_بن_محمد_المحاسن_copy1.db,./output/matches_274_أحمد_بن_محمد_المحاسن_copy1_285_إبراهيم_الحربي_غريب_الحديث_copy1.jsonl,79,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/290_محمد_بن_الحسن_بصائر_الدرجات_copy1.db,./output/matches_290_محمد_بن_الحسن_بصائر_الدرجات_copy1_285_إبراهيم_الحربي_غريب_الحديث_copy1.jsonl,80,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/300_الحميري_القمي_قرب_الاسناد_copy1.db,./output/matches_285_إبراهيم_الحربي_غريب_الحديث_copy1_300_الحميري_القمي_قرب_الاسناد_copy1.jsonl,81,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/320_محمد_بن_مسعود_تفسير_العياشي_copy1.db,./output/matches_320_محمد_بن_مسعود_تفسير_العياشي_copy1_285_إبراهيم_الحربي_غريب_الحديث_copy1.jsonl,82,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/329_الشيخ_الكليني_الكافي_copy1.db,./output/matches_329_الشيخ_الكليني_الكافي_copy1_285_إبراهيم_الحربي_غريب_الحديث_copy1.jsonl,83,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_الأمالي_copy1.db,./output/matches_381_الشيخ_الصدوق_الأمالي_copy1_285_إبراهيم_الحربي_غريب_الحديث_copy1.jsonl,84,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_الخصال_copy1.db,./output/matches_381_الشيخ_الصدوق_الخصال_copy1_285_إبراهيم_الحربي_غريب_الحديث_copy1.jsonl,85,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_المقنع_copy1.db,./output/matches_285_إبراهيم_الحربي_غريب_الحديث_copy1_381_الشيخ_الصدوق_المقنع_copy1.jsonl,86,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_الهداية_copy1.db,./output/matches_285_إبراهيم_الحربي_غريب_الحديث_copy1_381_الشيخ_الصدوق_الهداية_copy1.jsonl,87,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_علل_الشرائع_copy1.db,./output/matches_381_الشيخ_الصدوق_علل_الشرائع_copy1_285_إبراهيم_الحربي_غريب_الحديث_copy1.jsonl,88,pending,,,,,
./ngrams/source/285_إبراهيم_الحربي_غريب_الحديث_copy1.db,./ngrams/target/381_الشيخ_الصدوق_عيون_أخبار_الرضا_(ع)_copy1.db,./output/matches_381_الشيخ_الصدوق_عيون_أخبار_الرضا_(ع)_copy1_285_إبراهيم_الحربي_غريب_الحديث_copy1.jsonl,89,pending,,,,,
